,session,scan_idx,unit_id,pt_root_id,n_pre,n_post,pt_x,pt_y,pt_z,horizontal_dist,Vertical_dist,soma_dist,pref_ori,pref_dir,gOSI,gDSI,cc_abs,cc_max,cc_norm,OSI,DSI,readout_loc_x,readout_loc_y,pt_position,manual_proof_by_pat,classification_system,cell_type
0,4,7,3927,864691135782702387,1,0,770.24,531.136,920.36,240.20351917488637,199.296,312.1163665045459,82.48113250732422,262.48114013671875,0.26515400409698486,0.09850010275840759,0.6118519902229309,0.8540949821472168,0.7163746356964111,0.470351904630661,0.3095899820327759,-0.1555665135383606,-0.008467674255371094,"[192560, 132784, 23009]",False,excitatory_neuron,L2c
1,4,7,5807,864691136674492295,1,2,933.504,672.704,880.84,97.88083170876716,57.728,113.63617029801735,84.00347900390625,264.00347900390625,0.029996100813150406,0.03162290155887604,0.745864987373352,0.8876050114631653,0.8403118252754211,0.08447786420583725,0.050391435623168945,-0.10254722833633423,-0.022768259048461914,"[233376, 168176, 22021]",False,excitatory_neuron,L4a
2,4,7,6207,864691136363473634,1,0,988.992,664.704,787.48,156.49740782517773,65.728,169.7398263225222,56.58330535888672,56.58330535888672,0.2964400053024292,0.11055800318717957,0.6049280166625977,0.6118789911270142,0.9886398911476135,0.5340864062309265,0.25431114435195923,-0.05982506275177002,-0.002242743968963623,"[247248, 166176, 19687]",False,excitatory_neuron,L4b
3,4,7,6240,864691135928129236,1,4,964.928,661.312,964.76,49.676602138230024,69.12,85.1195582695305,95.93089294433594,95.93089294433594,0.18775799870491028,0.04732799902558327,0.6141470074653625,0.7737069725990295,0.7937720417976379,0.3617260754108429,0.124542236328125,-0.14030897617340088,0.0584261417388916,"[241232, 165328, 24119]",False,excitatory_neuron,L4a
4,4,7,6593,864691136420195223,3,4,990.272,653.056,961.52,26.881980879392053,77.376,81.91267467248278,172.32908630371094,172.32908630371094,0.39966899156570435,0.014986399561166763,0.2485779970884323,0.7830520272254944,0.31744763255119324,0.6816893219947815,0.04231513291597366,-0.05604207515716553,0.07782924175262451,"[247568, 163264, 24038]",False,excitatory_neuron,L4a
5,5,6,1672,864691135576234782,1,1,995.2,449.6,889.6,54.91000695683802,280.832,286.14982279917626,70.7418,250.7418,0.421101,0.157361,0.382053,0.527622,0.7241036,0.66956943,0.37851435,-0.07190293,-0.02001667,"[248800, 112400, 22240]",True,excitatory_neuron,L2a
6,5,6,4533,864691135698016410,1,9,988.16,584.384,982.0,44.72904094657072,146.048,152.74392101815377,78.95472717285156,78.95472717285156,0.10261800140142441,0.06777369976043701,0.3455590009689331,0.28581300377845764,1.2090387344360352,0.20039249956607819,0.2469179928302765,-0.12684482336044312,-0.07039618492126465,"[247040, 146096, 24550]",False,excitatory_neuron,L4b
7,5,6,4555,864691135468948364,1,0,937.664,609.344,836.32,128.26201283310658,121.088,176.3900441634958,85.46238708496094,85.46238708496094,0.4209800064563751,0.21657699346542358,0.6704180240631104,0.715969979763031,0.936377227306366,0.7023953199386597,0.47833141684532166,-0.08455801010131836,-0.07379072904586792,"[234416, 152336, 20908]",False,excitatory_neuron,L3b
8,5,6,4594,864691135702430587,1,2,919.616,592.704,981.84,97.97572793299369,137.728,169.0214342857142,96.4918212890625,96.4918212890625,0.2685739994049072,0.0137253999710083,0.4475240111351013,0.6306080222129822,0.7096706628799438,0.5008456110954285,0.03113825060427189,-0.057383716106414795,-0.0052340030670166016,"[229904, 148176, 24546]",False,excitatory_neuron,L4b
9,5,6,4719,864691135591664907,2,0,747.968,610.048,901.64,264.6353596932957,120.384,290.73042678054867,90.89574432373047,90.89574432373047,0.4617919921875,0.23354700207710266,0.47594699263572693,0.7311869859695435,0.6509237885475159,0.7259251475334167,0.5075339078903198,-0.14362525939941406,-0.0392153263092041,"[186992, 152512, 22541]",False,excitatory_neuron,L4a
10,5,6,5066,864691136603429585,1,2,974.848,596.608,862.84,86.9622538806349,133.824,159.59729501467123,14.976888,14.976888,0.114181,0.0685542,0.549041,0.456362,1.2030822,0.2217328,0.17099708,-0.08751547,-0.027644634,"[243712, 149152, 21571]",True,excitatory_neuron,L3b
11,5,6,5146,864691135810312733,2,2,914.304,608.832,846.8,135.01880023167146,121.6,181.70480570419704,144.7393035888672,324.7392883300781,0.3296250104904175,0.25898200273513794,0.6247979998588562,0.8337110280990601,0.7494179606437683,0.5823035836219788,0.5734076499938965,-0.14333480596542358,-0.009023189544677734,"[228576, 152208, 21170]",False,excitatory_neuron,L4b
12,5,6,5292,864691135539491442,1,8,1030.848,582.912,976.16,39.790250062044095,147.52,152.7920626210668,85.39706420898438,85.39706420898438,0.06325419992208481,0.07236400246620178,0.3206599950790405,0.5413479804992676,0.5923361778259277,0.12218731641769409,0.22258754074573517,-0.13346368074417114,-0.08855676651000977,"[257712, 145728, 24404]",False,excitatory_neuron,L4a
13,5,7,4242,864691136363009250,1,0,1176.128,572.416,738.92,263.24398720578597,158.016,307.0284238568149,65.77196502685547,245.77197265625,0.035155899822711945,0.17757000029087067,0.3540259897708893,0.6341950297355652,0.5582289099693298,0.028939248993992805,0.4969883859157562,-0.07061505317687988,-0.06790459156036377,"[294032, 143104, 18473]",False,excitatory_neuron,L4b
14,5,7,4475,864691136953413599,1,6,957.312,574.848,907.36,62.91797530118082,155.584,167.8244698248739,123.18477630615234,123.18477630615234,0.10643800348043442,0.028685500845313072,0.24472400546073914,0.4742699861526489,0.5160014629364014,0.20808114111423492,0.016431977972388268,-0.08388859033584595,-0.05349111557006836,"[239328, 143712, 22684]",False,excitatory_neuron,L4a
15,5,7,5079,864691135640398651,1,3,914.432,586.624,871.4,118.72480017249976,143.808,186.48409862505704,126.95025634765625,126.95025634765625,0.4865959882736206,0.07575059682130814,0.23700399696826935,0.8025820255279541,0.2953019142150879,0.748694658279419,0.11066038906574249,-0.13382214307785034,0.06547951698303223,"[228608, 146656, 21785]",False,excitatory_neuron,L3b
16,5,7,7320,864691134917620234,2,0,998.656,724.8,879.44,64.10807674544604,5.632,64.35499147696315,24.575306,24.575306,0.217798,0.0912429,0.203596,0.308637,0.65966165,0.421705,0.2277783,-0.118379,-0.021396339,"[249664, 181200, 21986]",True,excitatory_neuron,L4c
17,6,2,4341,864691136298111003,2,11,1032.832,558.016,977.52,42.01545163389298,172.416,177.46147534605927,14.76611614227295,194.76611328125,0.10210300236940384,0.032690998166799545,0.2408200055360794,0.7688770294189453,0.31321004033088684,0.20223750174045563,0.014863063581287861,-0.1263103485107422,-0.16844773292541504,"[258208, 139504, 24438]",False,excitatory_neuron,L3b
18,6,2,4370,864691136119414040,3,5,976.768,565.12,936.96,33.13052972712631,165.312,168.59919734091264,175.33769,175.33769,0.198437,0.0290633,0.303052,0.207162,1.4628744,0.3751749,0.08861012,-0.13520628,-0.14342546,"[244192, 141280, 23424]",True,excitatory_neuron,L4b
19,6,2,4372,864691135583352941,1,11,1000.64,575.616,972.16,30.79461355497094,154.816,157.84898504583424,24.08126449584961,204.08126831054688,0.15937499701976776,0.11118099838495255,0.39725399017333984,0.6562389731407166,0.605349600315094,0.3109150528907776,0.13143952190876007,-0.10922211408615112,-0.03609442710876465,"[250160, 143904, 24304]",False,excitatory_neuron,L3b
20,6,2,4434,864691135570791558,4,2,926.208,576.576,973.4,88.70410137079345,153.856,177.59528804560102,159.11538696289062,339.1153869628906,0.08755440264940262,0.0843304991722107,0.30270901322364807,0.7259520292282104,0.41698211431503296,0.16876542568206787,0.2602405548095703,-0.08929097652435303,0.07084023952484131,"[231552, 144144, 24335]",False,excitatory_neuron,L3b
21,6,2,4806,864691135209369465,1,0,845.312,588.224,814.36,208.28647487535045,142.208,252.20303503328424,129.81390380859375,129.81390380859375,0.15834300220012665,0.04439219832420349,0.38777101039886475,0.49948298931121826,0.7763447165489197,0.30474454164505005,0.14348909258842468,-0.07921022176742554,0.030226707458496094,"[211328, 147056, 20359]",False,excitatory_neuron,L3b
22,6,4,4067,864691136052626675,1,0,1070.272,562.944,766.04,186.7939680396559,167.488,250.88686023783708,130.8520965576172,130.8520965576172,0.36348700523376465,0.2839620113372803,0.5646569728851318,0.8083930015563965,0.6984931826591492,0.612626850605011,0.6180676221847534,-0.05521237850189209,-0.023124098777770996,"[267568, 140736, 19151]",False,excitatory_neuron,L3b
23,6,4,4202,864691135698922005,2,1,949.248,565.952,877.24,88.86160925844186,164.48,186.94934073165382,179.76593017578125,359.76593017578125,0.13835999369621277,0.14333300292491913,0.48495298624038696,0.7306429743766785,0.6637345552444458,0.25978323817253113,0.37377843260765076,-0.09670954942703247,0.017017722129821777,"[237312, 141488, 21931]",False,excitatory_neuron,L3b
24,6,4,4261,864691136086088556,1,1,864.96,571.072,912.0,147.6618918475583,159.36,217.25479029011075,146.2673797607422,326.2673645019531,0.3012459874153137,0.13718700408935547,0.41884899139404297,0.6276739835739136,0.6673033833503723,0.5419089794158936,0.34962767362594604,-0.1530625820159912,-0.008958697319030762,"[216240, 142768, 22800]",False,excitatory_neuron,L3b
25,6,4,4588,864691136107486169,1,0,996.8,560.32,891.36,52.807197085245875,170.112,178.11988268579114,57.746124267578125,57.746124267578125,0.25614601373672485,0.08067230135202408,0.2051990032196045,0.8294429779052734,0.24739372730255127,0.45298683643341064,0.23143671452999115,-0.04609203338623047,-0.0032399892807006836,"[249200, 140080, 22284]",False,excitatory_neuron,L3b
26,6,4,7378,864691135777617069,1,3,974.72,704.832,931.84,36.33039146499801,25.6,44.4438673384754,89.77603,269.77603,0.245798,0.0750879,0.37971,0.753739,0.50376856,0.4744137,0.16437583,-0.09153253,-0.02586013,"[243680, 176208, 23296]",True,excitatory_neuron,L4c
27,6,6,4639,864691136194754792,1,0,1049.152,545.408,814.16,134.48678721718352,185.024,228.7369154990073,76.31954,256.31955,0.324464,0.219796,0.560544,0.646453,0.8671071,0.56524134,0.4982962,0.029974937,0.0049313307,"[262288, 136352, 20354]",True,excitatory_neuron,L3b
28,6,6,7214,864691136391623039,1,0,1166.72,679.104,891.0,165.57099668722176,51.328,173.3445082141341,154.85086059570312,334.8508605957031,0.10669899731874466,0.17829999327659607,0.5728679895401001,0.6937199831008911,0.8257913589477539,0.2028091847896576,0.48638013005256653,-0.06687265634536743,0.05108487606048584,"[291680, 169776, 22275]",False,excitatory_neuron,L5a
29,6,7,3382,864691135012944278,1,2,1104.832,550.72,774.28,193.52216766045177,179.712,264.0970130842074,87.8562,87.8562,0.120045,0.0860931,0.439764,0.534151,0.8232953,0.24368352,0.2958017,-0.05017215,-0.06186241,"[276208, 137680, 19357]",True,excitatory_neuron,L3b
30,6,7,3468,864691135696955802,1,2,1064.576,526.656,974.84,63.877603461620254,203.776,213.55328702691514,18.530716,18.530716,0.0154153,0.18033,0.286924,0.616113,0.4657003,0.031682283,0.5130754,-0.028130293,0.047198296,"[266144, 131664, 24371]",True,excitatory_neuron,L3b
31,6,7,3525,864691135404468718,1,2,981.44,530.56,917.32,37.726799811274745,199.872,203.40139578675465,88.15628,268.15628,0.117139,0.101692,0.147792,0.604743,0.24438812,0.2677774,0.33547756,-0.04036075,-0.045077562,"[245360, 132640, 22933]",True,excitatory_neuron,L3a
32,6,7,4300,864691135868210454,1,0,731.52,564.608,897.6,281.51437289062164,165.824,326.7230342660278,76.53096771240234,256.5309753417969,0.09574169665575027,0.13661600649356842,0.41903701424598694,0.675599992275238,0.6202442049980164,0.1833755373954773,0.34349486231803894,-0.12325036525726318,0.04336237907409668,"[182880, 141152, 22440]",False,excitatory_neuron,L3b
33,6,7,6266,864691135511688144,1,3,1033.408,676.224,944.04,24.040798655618744,54.208,59.299808296486084,57.44173,237.44173,0.0605292,0.063664,0.169634,0.433813,0.39103022,0.17080715,0.20793413,-0.05491054,0.034479976,"[258352, 169056, 23601]",True,excitatory_neuron,L4c
34,6,7,6320,864691135477670312,1,1,944.384,692.672,867.08,99.68668003299138,37.76,106.59855428663187,116.39466094970703,116.39466094970703,0.1890210062265396,0.10712099820375443,0.6736130118370056,0.8034430146217346,0.8384079337120056,0.35977837443351746,0.24718903005123138,-0.0975310206413269,-0.041773438453674316,"[236096, 173168, 21677]",False,excitatory_neuron,L4c
35,6,7,6378,864691135773208651,1,0,872.576,694.016,837.76,172.40304702643743,36.416,176.20708181001126,82.1065673828125,82.1065673828125,0.18525099754333496,0.0419744998216629,0.35782501101493835,0.6449869871139526,0.5547786355018616,0.34981390833854675,0.06430555880069733,-0.09869086742401123,-0.09700053930282593,"[218144, 173504, 20944]",False,excitatory_neuron,L4c
36,6,7,6913,864691135448698196,1,0,749.376,701.696,878.64,267.7921601242277,28.736,269.3295355507821,118.77415466308594,118.77415466308594,0.4093729853630066,0.20201799273490906,0.6498309969902039,0.7507680058479309,0.8655549883842468,0.6788356900215149,0.46404510736465454,-0.14918136596679688,0.050138235092163086,"[187344, 175424, 21966]",False,excitatory_neuron,L4c
37,6,7,7087,864691136196240342,1,0,716.864,699.392,948.04,292.59383441214203,31.04,294.23567685785486,97.47257232666016,277.4725646972656,0.30717599391937256,0.11484300345182419,0.31388598680496216,0.5196520090103149,0.6040311455726624,0.5593779683113098,0.2631143033504486,-0.17636829614639282,0.005443692207336426,"[179216, 174848, 23701]",False,inhibitory_neuron,ITC
38,7,3,4640,864691135209280633,1,2,941.44,626.304,968.04,72.55900374178245,104.128,126.91512678952024,108.79035949707031,108.79035949707031,0.13434000313282013,0.03910040110349655,0.21990099549293518,0.13585099577903748,1.6186925172805786,0.2751997709274292,0.03192748501896858,-0.08602172136306763,-0.19866251945495605,"[235360, 156576, 24201]",False,excitatory_neuron,L4a
39,7,3,4668,864691135619294351,1,2,901.248,644.416,816.44,166.207778398004,86.016,187.14640754233034,25.8272762298584,25.8272762298584,0.0904121994972229,0.01686609908938408,0.1902810037136078,0.4654569923877716,0.40880468487739563,0.1794942170381546,0.010598673485219479,-0.10969287157058716,-0.09318488836288452,"[225312, 161104, 20411]",False,excitatory_neuron,L4a
40,7,3,8668,864691136420378007,1,1,989.184,765.888,857.88,87.13935836348578,-35.456,94.07654177317532,84.01051330566406,84.01051330566406,0.17292700707912445,0.10777900367975235,0.4502210021018982,0.5281440019607544,0.8524587750434875,0.3309742212295532,0.3327583968639374,-0.03288346529006958,-0.05430525541305542,"[247296, 191472, 21447]",False,excitatory_neuron,L5ET
41,7,5,2169,864691135661447664,1,1,1043.52,465.408,942.92,34.11314913636676,265.024,267.21045548406227,114.40707,114.40707,0.220795,0.0808101,0.642262,0.746749,0.8600775,0.4098162,0.233391,-0.055458307,-0.03725618,"[260880, 116352, 23573]",True,excitatory_neuron,L2c
42,7,5,6929,864691135137137433,1,2,1064.128,647.36,819.56,134.6958232463056,83.072,158.25271556595797,69.08667755126953,69.08667755126953,0.13147500157356262,0.04987329989671707,0.38204100728034973,0.7222030162811279,0.5289939045906067,0.26083236932754517,0.133375346660614,-0.10465604066848755,-0.13654875755310059,"[266032, 161840, 20489]",False,excitatory_neuron,L4c
43,8,5,2069,864691135741930603,1,0,705.856,534.208,897.8,306.84595859160345,196.224,364.222871989116,9.041274070739746,9.041274070739746,0.1385660022497177,0.16394199430942535,0.78547602891922,0.81706702709198,0.961336076259613,0.3694225251674652,0.5030462145805359,-0.12938612699508667,-0.01049882173538208,"[176464, 133552, 22445]",False,excitatory_neuron,L3b
44,8,5,4964,864691135742895467,2,0,731.52,524.032,979.12,280.27224433396896,206.4,348.0711004148434,73.88119,73.88119,0.395669,0.180642,0.306899,0.352678,0.87019604,0.6552512,0.42720902,-0.11483526,0.020250916,"[182880, 131008, 24478]",True,excitatory_neuron,L3a
45,8,5,5611,864691135469637516,1,0,771.648,539.52,884.76,244.70372289771154,190.912,310.3664024085081,87.13771057128906,87.13771057128906,0.3978410065174103,0.376134991645813,0.3445349931716919,0.7030370235443115,0.49006667733192444,0.6696767210960388,0.7062626481056213,-0.1434428095817566,0.00678861141204834,"[192912, 134880, 22119]",False,excitatory_neuron,L3b
46,8,5,8306,864691135860969064,1,2,956.992,661.312,847.6,108.5358864892161,69.12,128.6763888831203,106.31060028076172,106.31060028076172,0.28873300552368164,0.053860701620578766,0.8914949893951416,0.8805519938468933,1.0124274492263794,0.5183643102645874,0.13908220827579498,-0.03942590951919556,-0.010856986045837402,"[239248, 165328, 21190]",False,excitatory_neuron,L4c
47,8,5,8622,864691135134114976,5,13,1009.28,647.168,929.08,13.56060411633641,83.264,84.36103176230124,49.8265495300293,229.82655334472656,0.1664399951696396,0.0989822968840599,0.492033988237381,0.8246719837188721,0.5966420769691467,0.34642136096954346,0.2765446603298187,-0.027671754360198975,0.026302576065063477,"[252320, 161792, 23227]",False,excitatory_neuron,L4b
48,9,3,1822,864691135726077611,1,6,1007.104,595.52,867.0,75.67508186979384,134.912,154.68666962605408,55.47304916381836,235.47305297851562,0.08660420030355453,0.044861800968647,0.27862098813056946,0.4663439989089966,0.5974581241607666,0.2206457108259201,0.19726037979125977,-0.032562255859375,-0.04222917556762695,"[251776, 148880, 21675]",False,excitatory_neuron,L4a
