,session,scan_idx,unit_id,pt_root_id,n_pre,n_post,pt_x,pt_y,pt_z,horizontal_dist,Vertical_dist,soma_dist,pref_ori,pref_dir,gOSI,gDSI,cc_abs,cc_max,cc_norm,OSI,DSI,readout_loc_x,readout_loc_y,pt_position,classification_system,cell_type,status_dendrite,status_axon,strategy_dendrite,strategy_axon
0,4,7,5734,864691135977134403,1,1,971.072,657.344,718.0,245.5848658529267,75.392,256.896632909036,84.24084,84.24084,0.104923,0.124105,0.886413,0.957996,0.92527837,0.19853336,0.3597112,-0.06551653,-0.07920092,[242768 164336  17950],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
1,4,7,5807,864691136674492295,3,4,933.504,672.704,880.84,80.48564433487503,60.032,100.40806724561529,84.00348,264.00348,0.0299961,0.0316229,0.745865,0.887605,0.8403118,0.084477864,0.050391436,-0.10254723,-0.022768259,[233376 168176  22021],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
2,4,7,5962,864691135360302680,1,0,757.248,681.408,818.16,229.9138260827304,51.328,235.57362120577082,176.33865,176.33865,0.252939,0.059494,0.723683,0.802715,0.90154415,0.48618007,0.15230025,-0.13118261,-0.048936546,[189312 170352  20454],excitatory_neuron,L4b,True,True,dendrite_clean,axon_partially_extended
3,4,7,6240,864691135928129236,3,11,964.928,661.312,964.76,27.93466205272582,71.424,76.69245803858422,95.93089,95.93089,0.187758,0.047328,0.614147,0.773707,0.79377204,0.36172608,0.12454224,-0.14030898,0.05842614,[241232 165328  24119],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
4,4,7,6593,864691136420195223,1,1,990.272,653.056,961.52,53.05673883683391,79.68,95.72836536784695,172.32909,172.32909,0.399669,0.0149864,0.248578,0.783052,0.31744763,0.6816893,0.042315133,-0.056042075,0.07782924,[247568 163264  24038],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
5,4,7,6671,864691135927935444,2,0,770.56,676.032,859.72,195.14233968055217,56.704,203.21386850311177,88.9292,268.9292,0.650824,0.087226,0.597515,0.806617,0.7407667,0.8795607,0.21336883,-0.1543209,-0.05974859,[192640 169008  21493],excitatory_neuron,L4c,True,True,dendrite_clean,axon_partially_extended
6,5,6,4594,864691135702430587,1,10,919.616,592.704,981.84,27.094648918190472,140.032,142.62917311686275,96.49182,96.49182,0.268574,0.0137254,0.447524,0.630608,0.70967066,0.5008456,0.03113825,-0.057383716,-0.005234003,[229904 148176  24546],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
7,5,6,5269,864691135476495936,4,0,733.888,620.736,822.88,245.93853944430913,112.0,270.2401990526206,66.15986,246.15985,0.0780382,0.0924506,0.735057,0.818662,0.897876,0.15168558,0.31050175,-0.107976556,-0.051107764,[183472 155184  20572],excitatory_neuron,L4a,True,True,dendrite_extended,axon_fully_extended
8,5,6,5292,864691135539491442,1,6,1030.848,582.912,976.16,94.81327873246448,149.824,177.30422668396827,85.397064,85.397064,0.0632542,0.072364,0.32066,0.541348,0.5923362,0.12218732,0.22258754,-0.13346368,-0.08855677,[257712 145728  24404],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
9,5,6,7456,864691135066631492,1,0,753.792,755.136,817.8,232.8505902418974,-22.4,233.92553810133685,89.26209,269.2621,0.517977,0.0983667,0.664736,0.84487,0.78679085,0.79332244,0.21743052,-0.09867853,-0.017070115,[188448 188784  20445],excitatory_neuron,L5b,True,True,dendrite_extended,axon_fully_extended
